"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","CART - GET detail data cart","SUCCESS","2023-04-15T21:59:54.9150733+07:00[Asia/Jakarta]","0.0","7.22"
"Cart","CART - GET result in descending sort","SUCCESS","2023-04-15T22:00:03.087884+07:00[Asia/Jakarta]","0.0","1.03"
"Cart","CART - GET ALL detail data cart","SUCCESS","2023-04-15T22:00:04.15547+07:00[Asia/Jakarta]","0.0","1.15"
"Cart","CART - GET limit result cart with invalid param","SUCCESS","2023-04-15T22:00:06.2267326+07:00[Asia/Jakarta]","0.0","1.07"
"Cart","CART - GET result cart in descending sort","SUCCESS","2023-04-15T22:00:07.3486617+07:00[Asia/Jakarta]","0.0","1.17"
"Cart","CART - GET ALL detail data user cart with invalid url","SUCCESS","2023-04-15T22:00:08.5419916+07:00[Asia/Jakarta]","0.0","2.28"
"Cart","CART - PUT existing cart with invalid data","SUCCESS","2023-04-15T22:00:15.7547784+07:00[Asia/Jakarta]","0.0","1.02"
"User","LOGIN - As admin I have be able to login","SUCCESS","2023-04-15T22:00:18.3998169+07:00[Asia/Jakarta]","0.0","1.35"
"Product","PRODUCT - GET limit result product with valid param","SUCCESS","2023-04-15T22:00:22.5038501+07:00[Asia/Jakarta]","0.0","5.65"
"Product","PRODUCT - GET ALL categories product","SUCCESS","2023-04-15T22:00:30.1674824+07:00[Asia/Jakarta]","0.0","1.05"
"Product","PRODUCT - GET in categories product","SUCCESS","2023-04-15T22:00:31.2359413+07:00[Asia/Jakarta]","0.0","1.44"
"Product","PRODUCT - DELETE existing product with valid id","SUCCESS","2023-04-15T22:00:35.1362188+07:00[Asia/Jakarta]","0.0","1.12"
"User","USER - GET detail data user","SUCCESS","2023-04-15T22:00:36.7691643+07:00[Asia/Jakarta]","0.0","1.03"
"User","USER - GET ALL detail data user","SUCCESS","2023-04-15T22:00:38.6250674+07:00[Asia/Jakarta]","0.0","1.1"
"User","USER - GET limit result with valid param","SUCCESS","2023-04-15T22:00:40.2534164+07:00[Asia/Jakarta]","0.0","1.02"
"User","USER - GET limit result with invalid param","SUCCESS","2023-04-15T22:00:41.3021426+07:00[Asia/Jakarta]","0.0","1.19"
"User","USER - GET result user in descending sort","SUCCESS","2023-04-15T22:00:42.506739+07:00[Asia/Jakarta]","0.0","1.31"
"User","USER - USER PUT existing user","SUCCESS","2023-04-15T22:00:45.3852988+07:00[Asia/Jakarta]","0.0","1.01"
