"Story","Title","Result","Date","Stability","Duration (s)"
"User","LOGIN - As admin I have be able to login","SUCCESS","2023-04-15T22:00:18.3998169+07:00[Asia/Jakarta]","0.0","1.35"
"User","USER - GET detail data user","SUCCESS","2023-04-15T22:00:36.7691643+07:00[Asia/Jakarta]","0.0","1.03"
"User","USER - GET a single user with invalid endpoints","SUCCESS","2023-04-15T22:00:37.81573+07:00[Asia/Jakarta]","0.0","0.79"
"User","USER - GET ALL detail data user","SUCCESS","2023-04-15T22:00:38.6250674+07:00[Asia/Jakarta]","0.0","1.1"
"User","USER - GET ALL detail data user with invalid url","SUCCESS","2023-04-15T22:00:39.7394344+07:00[Asia/Jakarta]","0.0","0.5"
"User","USER - GET limit result with valid param","SUCCESS","2023-04-15T22:00:40.2534164+07:00[Asia/Jakarta]","0.0","1.02"
"User","USER - GET limit result with invalid param","SUCCESS","2023-04-15T22:00:41.3021426+07:00[Asia/Jakarta]","0.0","1.19"
"User","USER - GET result user in descending sort","SUCCESS","2023-04-15T22:00:42.506739+07:00[Asia/Jakarta]","0.0","1.31"
"User","USER - USER POST new product with valid data","SUCCESS","2023-04-15T22:00:43.8340116+07:00[Asia/Jakarta]","0.0","0.68"
"User","USER - USER POST new product with invalid data","SUCCESS","2023-04-15T22:00:44.5356584+07:00[Asia/Jakarta]","0.0","0.83"
"User","USER - USER PUT existing user","SUCCESS","2023-04-15T22:00:45.3852988+07:00[Asia/Jakarta]","0.0","1.01"
"User","USER - PUT existing user with invalid endpoints","SUCCESS","2023-04-15T22:00:46.410729+07:00[Asia/Jakarta]","0.0","0.5"
"User","USER - DELETE existing user with valid id","SUCCESS","2023-04-15T22:00:46.9276551+07:00[Asia/Jakarta]","0.0","0.96"
"User","USER - DELETE existing user with invalid id","SUCCESS","2023-04-15T22:00:47.901216+07:00[Asia/Jakarta]","0.0","0.48"
