"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","CART - GET a single cart with invalid url","SUCCESS","2023-04-15T22:00:02.2172094+07:00[Asia/Jakarta]","0.0","0.82"
"Cart","CART - GET limit result cart with valid param","SUCCESS","2023-04-15T22:00:05.3345852+07:00[Asia/Jakarta]","0.0","0.85"
"Cart","CART - GET detail data user cart with invalid url","SUCCESS","2023-04-15T22:00:10.8402529+07:00[Asia/Jakarta]","0.0","0.79"
"Cart","CART - GET in date range cart with valid data","SUCCESS","2023-04-15T22:00:11.6536928+07:00[Asia/Jakarta]","0.0","0.87"
"Cart","CART - GET in date range cart with invalid data","SUCCESS","2023-04-15T22:00:12.5517437+07:00[Asia/Jakarta]","0.0","0.62"
"Cart","CART - POST new cart with valid data","SUCCESS","2023-04-15T22:00:13.1899367+07:00[Asia/Jakarta]","0.0","0.61"
"Cart","CART - POST new cart with invalid data","SUCCESS","2023-04-15T22:00:13.8256941+07:00[Asia/Jakarta]","0.0","0.93"
"Cart","CART - PUT existing cart","SUCCESS","2023-04-15T22:00:14.7726605+07:00[Asia/Jakarta]","0.0","0.96"
"Cart","CART - DELETE existing cart with valid id","SUCCESS","2023-04-15T22:00:16.7989159+07:00[Asia/Jakarta]","0.0","0.99"
"Cart","CART - DELETE existing cart with invalid id","SUCCESS","2023-04-15T22:00:17.8121254+07:00[Asia/Jakarta]","0.0","0.56"
