"Story","Title","Result","Date","Stability","Duration (s)"
"Product","PRODUCT - GET detail data product","SUCCESS","2023-04-15T22:00:19.7731331+07:00[Asia/Jakarta]","0.0","0.58"
"Product","PRODUCT - GET a single product with invalid endpoint","SUCCESS","2023-04-15T22:00:20.3723256+07:00[Asia/Jakarta]","0.0","0.53"
"Product","PRODUCT - GET ALL detail data product","SUCCESS","2023-04-15T22:00:21.0086251+07:00[Asia/Jakarta]","0.0","0.92"
"Product","PRODUCT - GET ALL detail data product with invalid url","SUCCESS","2023-04-15T22:00:21.9523337+07:00[Asia/Jakarta]","0.0","0.53"
"Product","PRODUCT - GET limit result product with invalid param","SUCCESS","2023-04-15T22:00:28.1693771+07:00[Asia/Jakarta]","0.0","0.49"
"Product","PRODUCT - GET result in descending sort","SUCCESS","2023-04-15T22:00:28.6801313+07:00[Asia/Jakarta]","0.0","0.5"
"Product","PRODUCT - GET result in descending sort (Baru ditambahin)","SUCCESS","2023-04-15T22:00:29.1974979+07:00[Asia/Jakarta]","0.0","0.95"
"Product","PRODUCT - POST new product with valid data","SUCCESS","2023-04-15T22:00:32.6946243+07:00[Asia/Jakarta]","0.0","0.56"
"Product","PRODUCT - POST new product with invalid data","SUCCESS","2023-04-15T22:00:33.2727862+07:00[Asia/Jakarta]","0.0","0.48"
"Product","PRODUCT - PUT existing product","SUCCESS","2023-04-15T22:00:33.765673+07:00[Asia/Jakarta]","0.0","0.53"
"Product","PRODUCT - PUT existing product with invalid endpoints","SUCCESS","2023-04-15T22:00:34.3190801+07:00[Asia/Jakarta]","0.0","0.8"
"Product","PRODUCT - DELETE existing cart with invalid id","SUCCESS","2023-04-15T22:00:36.2752188+07:00[Asia/Jakarta]","0.0","0.47"
